"riding_id","date","prediction_338","probability_338","prediction_poliwave","probability_poliwave","prediction_signal","probability_signal","prediction","probability"
35122,2025-04-01,"LPC",0.95,"LPC",0.834805524701681,"LPC",0.95,"LPC",0.911601841567227
46001,2025-04-01,"CPC",0.95,"CPC",0.914209455203953,"CPC",0.95,"CPC",0.938069818401317
46002,2025-04-01,"LPC",0.5,"NDP",0.621889568469578,"LPC",0.65,"LPC",0.383333333333333
46003,2025-04-01,"CPC",0.5,"NDP",0.59845720712837,"CPC",0.65,"CPC",0.383333333333333
46004,2025-04-01,"LPC",0.5,"LPC",0.501355939693726,"CPC",0.65,"LPC",0.333785313231242
46005,2025-04-01,"CPC",0.95,"CPC",0.964701919158615,"CPC",0.95,"CPC",0.954900639719538
46006,2025-04-01,"CPC",0.8,"CPC",0.799868758877794,"CPC",0.8,"CPC",0.799956252959265
46007,2025-04-01,"CPC",0.95,"CPC",0.946816448150737,"CPC",0.95,"CPC",0.948938816050246
46008,2025-04-01,"LPC",0.95,"LPC",0.766908147617898,"LPC",0.8,"LPC",0.838969382539299
46009,2025-04-01,"CPC",0.95,"CPC",0.846866838250218,"CPC",0.95,"CPC",0.915622279416739
46010,2025-04-01,"LPC",0.5,"NDP",0.53599483586393,"NDP",0.8,"NDP",0.445331611954643
46011,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
46012,2025-04-01,"LPC",0.95,"LPC",0.786843879937051,"LPC",0.8,"LPC",0.845614626645684
46013,2025-04-01,"LPC",0.95,"LPC",0.833599842296763,"LPC",0.8,"LPC",0.861199947432254
46014,2025-04-01,"LPC",0.8,"LPC",0.642137002528137,"LPC",0.65,"LPC",0.697379000842712
47001,2025-04-01,"CPC",0.95,"CPC",0.99,"CPC",0.95,"CPC",0.963333333333333
47002,2025-04-01,"CPC",0.95,"CPC",0.99,"CPC",0.95,"CPC",0.963333333333333
47003,2025-04-01,"LPC",0.8,"LPC",0.752315057144287,"LPC",0.8,"LPC",0.784105019048096
47004,2025-04-01,"CPC",0.95,"CPC",0.99,"CPC",0.95,"CPC",0.963333333333333
47005,2025-04-01,"CPC",0.95,"CPC",0.99,"CPC",0.95,"CPC",0.963333333333333
47006,2025-04-01,"CPC",0.95,"CPC",0.684451974295758,"CPC",0.8,"CPC",0.811483991431919
47007,2025-04-01,"CPC",0.95,"CPC",0.956342244283815,"CPC",0.95,"CPC",0.952114081427938
47008,2025-04-01,"LPC",0.5,"CPC",0.53559316595013,"CPC",0.8,"CPC",0.445197721983377
47009,2025-04-01,"CPC",0.95,"CPC",0.725857578411822,"CPC",0.8,"CPC",0.825285859470607
